Authors	Title (RECOMB 2023 Version)	LNCS 13976 Pages	Springer LNCS 13976 DOI	Preprint	Journal	Title (Journal version)	Issue and Pages	Journal Year	Journal DOI
Hao Chen, Dongshunyi Li, Ziv Bar-Joseph	Cell segmentation for high-resolution spatial transcriptomics	251-253	10.1007/978-3-031-29119-7	bioRxiv 2023.01.11.523658	Nature Methods	SCS: cell segmentation for high-resolution spatial transcriptomics	20(8): 1237-1243	2023	10.1038/s41592-023-01939-3
Yudi Zhang, Ha Vu, Geetu Tuteja, Karin Dorman	Unsupervised Deep Peak Caller for ATAC-seq	254-256	10.1007/978-3-031-29119-7	bioRxiv 2023.01.07.523108	Genome Research	Unsupervised contrastive peak caller for ATAC-seq	33(7): 1133-1144	2023	10.1101/gr.277677.123
Rohit Singh, Alexander Wu, Anish Mudide, Bonnie Berger	Unraveling causal gene regulation from the RNA velocity graph using Velorama	257-258	10.1007/978-3-031-29119-7	bioRxiv 2022.10.18.512766	Cell Systems	Causal gene regulatory analysis with RNA velocity reveals an interplay between slow and fast transcription factors	15(5):462-474	2024	10.1016/j.cels.2024.04.005
Vitalii Stebliankin, Azam Shirali, Prabin Baral, Prem Chapagain, Giri Narasimhan	PIsToN: Evaluating Protein Binding Interfaces with Transformer Networks	259-261	10.1007/978-3-031-29119-7	bioRxiv 2023.01.03.522623	Nature Machine Intelligence	Evaluating protein binding interfaces with transformer networks	5: 1042–1053	2023	10.1038/s42256-023-00715-4
Rıza Özçelik, Alperen Bağ, Berk Atıl, Melih Barsbey, Arzucan Özgür, Elif Ozkirimli	DebiasedDTA: A Framework for Improving the Generalizability of Drug-Target Affinity Prediction Models	262-264	10.1007/978-3-031-29119-7	arXiv:2107.05556	Journal of Computational Biology	A Framework for Improving the Generalizability of Drug–Target Affinity Prediction Models	30(11): 1226–1239	2023	10.1089/cmb.2023.0208
Zhihang Hu, Qinze Yu, Yucheng Guo, Taifeng Wang, Irwin King, Xin Gao, Le Song, Yu Li	Drug Synergistic Combinations Predictions via Large-Scale Pre-Training and Graph Structure Learning	265-267	10.1007/978-3-031-29119-7	arXiv:2301.05931	NONE				
Jiacheng Lin, Hanwen Xu, Addie Woicik, Jianzhu Ma, Sheng Wang	Pisces: a cross-modal contrastive learning approach to synergistic drug combination prediction	268-270	10.1007/978-3-031-29119-7	bioRxiv 2022.11.21.517439	Cell Genomics	Pisces: A multi-modal data augmentation approach for drug combination synergy prediction	5(7): 100892	2025	10.1016/j.xgen.2025.100892
Stefan Ivanovic, Mohammed El-Kebir	Modeling and Predicting Cancer Clonal Evolution with Reinforcement Learning	271-273	10.1007/978-3-031-29119-7	bioRxiv 2022.12.11.519917	Genome Research	Modeling and predicting cancer clonal evolution with reinforcement learning	33(7): 1078-1088	2023	10.1101/gr.277672.123
Rajagopal Venkatesaramani, Zhiyu Wan, Brad Malin, Yevgeniy Vorobeychik	Enabling Trade-offs in Privacy and Utility in Genomic Data Beacons and Summary Statistics	274-276	10.1007/978-3-031-29119-7	arXiv:2302.01763	Genome Research	Enabling tradeoffs in privacy and utility in genomic data Beacons and summary statistics	33(7): 1113-1123	2023	10.1101/gr.277674.123
Shuvom Sadhuka, Daniel Fridman, Bonnie Berger, Hyunghoon Cho	Accurate evaluation of transcriptomic re-identification risks using discriminative sequence models	277-279	10.1007/978-3-031-29119-7	bioRxiv 2023.04.13.536784	Genome Research	Assessing transcriptomic reidentification risks using discriminative sequence models	33(7):1101–1112	2023	10.1101/gr.277699.123
