#Year	2012										
#Location	Barcelona, Spain										
#Dates	April 21 - 24										
#Website	https://recomb.org/recomb2012/										
#PC_Chair	Benny Chor										
#Organization_Committee	Rodric Guigo (chair), Josep F Abril, Francisco Cámara, Eduardo Eyras, Pedro Ferreira, Toni Gabaldón, Cédric Notredame, Gabriel Valiente, Blanka Wysocka										
#Keynotes	Richard Durbin, Eileen Furlong, Thomas Gingeras, Alfonso Valencia, Ada E. Yonath										
#Proceedings_Type	LNCS										
#Proceedings_Volume	7262										
#Authors	RECOMB 2012 Paper Title (Original)	LNCS 7262 Pages	LNCS 7262 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Yaw-Ling Lin, Charles Ward, Steven Skiena	Synthetic Sequence Design for Signal Location Search	165-179	10.1007/978-3-642-29627-7_15	NONE		Algorithmica	Synthetic Sequence Design for Signal Location Search	Yaw-Ling Lin, Charles B. Ward, Steven Skiena	67(3): 368-383	2013	10.1007/s00453-013-9760-9
Andrew McPherson, Chunxiao Wu, Alexander Wyatt, Sohrab Shah, Colin Collins, S. Cenk Sahinalp	Discovery of Complex Genomic Rearrangements in Cancer Using High-Throughput Sequencing	181-182	10.1007/978-3-642-29627-7_17	NONE		Genome Research	nFuse: Discovery of complex genomic rearrangements in cancer using high-throughput sequencing	Andrew McPherson, Chunxiao Wu, Alexander W. Wyatt, Sohrab P. Shah, Colin C. Collins, S. Cenk Sahinalp	22(11): 2250-2261	2012	10.1101/gr.136572.111
Andrew S. Parker, Karl E. Griswold, Chris Bailey-Kellogg	Structure-Guided Deimmunization of Therapeutic Proteins	184-198	10.1007/978-3-642-29627-7_19	NONE		Journal of Computational Biology	Structure-Guided Deimmunization of Therapeutic Proteins	Andrew S. Parker, Yoonjoo Choi, Karl E. Griswold, Chris Bailey‐Kellogg	20(2): 152-165	2013	10.1089/cmb.2012.0251
Son K. Pham, Dmitry Antipov, Alexander Sirotkin, Glenn Tesler, Pavel A. Pevzner, Max A. Alekseyev	Pathset Graphs: A Novel Approach for Comprehensive Utilization of Paired Reads in Genome Assembly	200-212	10.1007/978-3-642-29627-7_21	NONE		Journal of Computational Biology	Pathset Graphs: A Novel Approach for Comprehensive Utilization of Paired Reads in Genome Assembly	Son Pham, Dmitry Antipov, Alexander Sirotkin, Glenn Tesler, Pavel A. Pevzner, Max A. Alekseyev	20(4): 359-371	2012	10.1089/cmb.2012.0098
Imran Rauf, Florian Rasche, François Nicolas, Sebastian Böcker	Finding Maximum Colorful Subtrees in Practice	213-223	10.1007/978-3-642-29627-7_22	NONE		Journal of Computational Biology	Finding Maximum Colorful Subtrees in Practice	Imran Rauf, Florian Rasche, François Nicolas, Sebastian Böcker	20(4): 311-321	2013	10.1089/cmb.2012.0083
Sebastien Roch and Sagi Snir	Recovering the Tree-Like Trend of Evolution Despite Extensive Lateral Genetic Transfer: A Probabilistic Analysis	224-238	10.1007/978-3-642-29627-7_23	arXiv:1206.3520	10.4855	NONE					
Sayed Mohammad Ebrahim Sahraeian and Byung-Jun Yoon	RESQUE: Network Reduction Using Semi-Markov Random Walk Scores for Efficient Querying of Biological Networks	239-240	10.1007/978-3-642-29627-7_24	NONE		Bioinformatics	RESQUE: Network reduction using semi-Markov random walk scores for efficient querying of biological networks	Sayed Mohammad Ebrahim Sahraeian, Byung-Jun Yoon	28(16): 2129-2136	2012	10.1093/bioinformatics/bts341
Raheleh Salari, Chava Kimchi-Sarfaty, Michael M. Gottesman, Teresa M. Przytycka	Detecting SNP-Induced Structural Changes in RNA: Application to Disease Studies	241-243	10.1007/978-3-642-29627-7_25	NONE		NONE	NA	NA	NA	NA	NA
Christina Schmiedl, Mathias Möhl, Steffen Heyne, Mika Amit, Gad M. Landau, Sebastian Will, Rolf Backofen	Exact Pattern Matching for RNA Structure Ensembles	245-260	10.1007/978-3-642-29627-7_27	NONE		NONE	NA	NA	NA	NA	NA
Roded Sharan and Richard M. Karp	Reconstructing Boolean Models of Signaling	261-271	10.1007/978-3-642-29627-7_28	NONE		Journal of Computational Biology	Reconstructing Boolean models of signaling	Roded Sharan and Richard M. Karp	20(3):249-57	2013	10.1089/cmb.2012.0241
Kai Song, Jie Ren, Zhiyuan Zhai, Xuemei Liu, Minghua Deng, Fengzhu Sun	Alignment-Free Sequence Comparison Based on Next Generation Sequencing Reads: Extended Abstract	272-285	10.1007/978-3-642-29627-7_29	NONE		Journal of Computational Biology	Alignment-Free Sequence Comparison Based on Next-Generation Sequencing Reads	Kai Song, Jie Ren, Zhiyuan Zhai, Xuemei Liu, Minghua Deng, Fengzhu Sun	20(2): 64-79	2013	10.1089/cmb.2012.0228
Nurcan Tuncbag, Alfredo Braunstein, Andrea Pagnani, Shao-Shan Carol Huang, Jennifer Chayes, Christian Borgs, Riccardo Zecchina, Ernest Fraenkel	Simultaneous Reconstruction of Multiple Signaling Pathways via the Prize-Collecting Steiner Forest Problem	287-301	10.1007/978-3-642-29627-7_31	NONE		Journal of Computational Biology	Simultaneous Reconstruction of Multiple Signaling Pathways via the Prize-Collecting Steiner Forest Problem	Nurcan Tunçbağ, Alfredo Braunstein, Andrea Pagnani, Shao‐shan Carol Huang, Jennifer Chayes, Christian Borgs, Riccardo Zecchina, Ernest Fraenkel	20(2): 124-136	2013	10.1089/cmb.2012.0092
Hua Wang, Heng Huang, Chris Ding	Function-Function Correlated Multi-Label Protein Function Prediction over Interaction Networks	302-313	10.1007/978-3-642-29627-7_32	NONE		Journal of Computational Biology	Function–Function Correlated Multi-label Protein Function Prediction over Interaction Networks	Hua Wang, Heng Huang, Chris Ding	20(4): 322-343	2013	10.1089/cmb.2012.0272
Hua Wang, Heng Huang, Chris Ding, Feiping Nie	Predicting Protein-Protein Interactions from Multimodal Biological Data Sources via Nonnegative Matrix Tri-Factorization	314-325	10.1007/978-3-642-29627-7_33	NONE		Journal of Computational Biology	Predicting Protein–Protein Interactions from Multimodal Biological Data Sources via Nonnegative Matrix Tri-Factorization	Hua Wang, Heng Huang, Chris Ding, Feiping Nie	20(4): 344-358	2013	10.1089/cmb.2012.0273
Zhanyong Wang, Farhad Hormozdiari, Wen-Yun Yang, Eran Halperin, Eleazar Eskin	CNVeM: Copy Number Variation Detection Using Uncertainty of Read Mapping	326-340	10.1007/978-3-642-29627-7_34	NONE		Journal of Computational Biology	CNVeM: Copy Number Variation Detection Using Uncertainty of Read Mapping	Zhanyong Wang, Farhad Hormozdiari, Wen-Yun Yang, Eran Halperin, Eleazar Eskin	20(3): 224-236	2013	10.1089/cmb.2012.0258
Sebastian Will, Michael Yu, Bonnie Berger	Structure-Based Whole Genome Realignment Reveals Many Novel Non-coding RNAs	341-341	10.1007/978-3-642-29627-7_35	NONE		Genome Research	Structure-based whole-genome realignment reveals many novel noncoding RNAs	Sebastian Will, Michael Yu, Bonnie Berger	23(6): 1018-1027	2013	10.1101/gr.137091.111
Osvaldo Zagordi, Armin Töpfer, Sandhya Prabhakaran, Volker Roth, Eran Halperin, Niko Beerenwinkel	Probabilistic Inference of Viral Quasispecies Subject to Recombination	342-354	10.1007/978-3-642-29627-7_36	NONE		Journal of Computational Biology	Probabilistic Inference of Viral Quasispecies Subject to Recombination	Armin Töpfer, Osvaldo Zagordi, Sandhya Prabhakaran, Volker Röth, Eran Halperin, Niko Beerenwinkel	20(2): 113-123	2013	10.1089/cmb.2012.0232
ZhiZhuo Zhang, Cheng Wei Chang, Willy Hugo, Edwin Cheung, Wing-Kin Sung	Simultaneously Learning DNA Motif along with Its Position and Sequence Rank Preferences through EM Algorithm	355-370	10.1007/978-3-642-29627-7_37	NONE		Journal of Computational Biology	Simultaneously Learning DNA Motif Along with Its Position and Sequence Rank Preferences Through Expectation Maximization Algorithm	Zhizhuo Zhang, Cheng Chang, Willy Hugo, Edwin Cheung, Wing‐Kin Sung	20(3): 237-248	2013	10.1089/cmb.2012.0233
