#Year	2003										
#Location	Berlin, Germany										
#Dates	April 10 - 14										
#Website	https://recomb.org/recomb2003										
#PC_Chair	Webb Miller										
#Organization_Committee	Martin Vingron (chair), Patricia Béziat, Alexander Schliep, Rainer Spang, Thomas Steinke										
#Keynotes	Edward Trifonov, Christiane Nüsslein-Volhard, Árpád Furka, Andrew Clark, David Haussler, Arthur Lesk, Dieter Oesterhelt, Terry Speed, Kari Stefansson										
#Proceedings_Type	ACM										
#Proceedings_Volume											
#Authors	RECOMB 2003 Title (Original)	ACM Pages	ACM Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Journal Version Title	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Andreas Heger, Michael Lappe, Liisa Holm	Accurate detection of very sparse sequence motifs	139–147	10.1145/640075.640094	NONE		Journal of Computational Biology	Accurate Detection of Very Sparse Sequence Motifs	Andreas Heger, Michael Lappé, Liisa Holm	11(5): 843-857	2004	10.1089/cmb.2004.11.843
A. B. Kahng, I. I. Mandoiu, P. A. Pevzner, S. Reda, A. Z. Zelikovsky	Engineering a scalable placement heuristic for DNA probe arrays	148–156	10.1145/640075.640095	NONE		Journal of Computational Biology	Scalable Heuristics for Design of DNA Probe Arrays	Andrew B. Kahng, Ion Măndoiu, Pavel A. Pevzner, Sherief Reda, Alex Zelikovsky	11(2-3): 429-447	2004	10.1089/1066527041410391
Manolis Kamvysselis, Nick Patterson, Bruce Birren, Bonnie Berger, Eric Lander	Whole-genome comparative annotation and regulatory motif discovery in multiple yeast species	157–166	10.1145/640075.640096	NONE		NONE	NA	NA	NA	NA	NA
Balaji Krishnapuram, Lawrence Carin, Alexander J. Hartemink	Joint classifier and feature optimization for cancer diagnosis using gene expression data	167–175	10.1145/640075.640097	NONE		Journal of Computational Biology	Joint Classifier and Feature Optimization for Comprehensive Cancer Diagnosis Using Gene Expression Data	Balaji Krishnapuram, Lawrence Carin, Alexander J. Hartemink	11(2-3): 227-242	2004	10.1089/1066527041410463
Christopher James Langmead, Anthony K. Yan, Ryan Lilien, Lincong Wang, Bruce Randall Donald	Large a polynomial-time nuclear vector replacement algorithm for automated NMR resonance assignments	176–187	10.1145/640075.640098	NONE		Journal of Computational Biology	A Polynomial-Time Nuclear Vector Replacement Algorithm for Automated NMR Resonance Assignments	Christopher J. Langmead, Anthony K. Yan, Ryan Lilien, Lincong Wang, Bruce R. Donald	11(2-3): 277-298	2004	10.1089/1066527041410436
N. Lesh, M. Mitzenmacher, S. Whitesides	A complete and effective move set for simplified protein folding	188–195	10.1145/640075.640099	NONE		NONE	NA	NA	NA	NA	NA
Jing Li, Tao Jiang	Efficient rule-based haplotyping algorithms for pedigree data	197–206	10.1145/640075.640101	NONE		NONE	NA	NA	NA	NA	NA
Lei Li, Jong Hyun Kim, Michael S. Waterman	Haplotype reconstruction from SNP alignment	207–216	10.1145/640075.640102	NONE		Journal of Computational Biology	Haplotype Reconstruction from SNP Alignment	Lei M. Li, Jong Hyun Kim, Michael S. Waterman	11(2-3): 505-516	2004	10.1089/1066527041410454
Wentian Li, Ivo Grosse	Gene selection criterion for discriminant microarray data analysis based on extreme value distributions	217–223	10.1145/640075.640103	arXiv:q-bio/0403038	10.4855	Journal of Computational Biology	Extreme Value Distribution Based Gene Selection Criteria for Discriminant Microarray Data Analysis Using Logistic Regression	Wentian Li, Fengzhu Sun, Ivo Große	11(2-3): 215-226	2004	10.1089/1066527041410445
Niranjan Nagarajan, Golan Yona	A multi-expert system for the automatic detection of protein domains from sequence information	224–234	10.1145/640075.640104	NONE		Bioinformatics	Automatic prediction of protein domains from sequence information using a hybrid learning system	Niranjan Nagarajan, Golan Yona	20(9): 1335-1360	2004	10.1093/bioinformatics/bth086
Itsik Pe'er, Jacques S. Beckmann	Resolution of haplotypes and haplotype frequencies from SNP genotypes of pooled samples	237–246	10.1145/640075.640107	NONE		NONE	NA	NA	NA	NA	NA
Pavel Pevzner, Glenn Tesler	Transforming men into mice: the Nadeau-Taylor chromosomal breakage model revisited	247–256	10.1145/640075.640108	NONE		NONE	NA	NA	NA	NA	NA
Krishna M. Roskin, Mark Diekhans, David Haussler	Scoring two-species local alignments to try to statistically separate neutrally evolving from selected DNA segments	257–266	10.1145/640075.640109	NONE		NONE	NA	NA	NA	NA	NA
Fabian Schwarzer, Itay Lotan	Approximation of protein structure for fast similarity measures	267–276	10.1145/640075.640110	NONE		Journal of Computational Biology	Approximation of Protein Structure for Fast Similarity Measures	Itay Lotan, Fabian Schwarzer	11(2-3): 299-317	2004	10.1089/1066527041410355
Adam Siepel, David Haussler	Combining phylogenetic and hidden Markov models in biosequence analysis	277–286	10.1145/640075.640111	NONE		Journal of Computational Biology	Combining Phylogenetic and Hidden Markov Models in Biosequence Analysis	Adam Siepel, David Haussler	11(2-3): 413-428	2004	10.1089/1066527041410472
Umar Syed, Golan Yona	Using a mixture of probabilistic decision trees for direct prediction of protein function	289–300	10.1145/640075.640114	NONE		NONE	NA	NA	NA	NA	NA
Amos Tanay, Ron Shamir	Modeling transcription programs: inferring binding site activity and dose-response model optimization	301–310	10.1145/640075.640115	NONE		NONE	NA	NA	NA	NA	NA
Chen-Hsiang Yeang, Tommi Jaakkola	Physical network models and multi-source data integration	312–321	10.1145/640075.640117	NONE		Journal of Computational Biology	Physical Network Models	Chen‐Hsiang Yeang, Trey Ideker, Tommi Jaakkola	11(2-3): 243-262	2004	10.1089/1066527041410382
Gene Yeo, Christopher B. Burge	Maximum entropy modeling of short sequence motifs with applications to RNA splicing signals	322–331	10.1145/640075.640118	NONE		Journal of Computational Biology	Maximum Entropy Modeling of Short Sequence Motifs with Applications to RNA Splicing Signals	G Yeo, Christopher B. Burge	11(2-3): 377-394	2004	10.1089/1066527041410418
Kui Zhang, Fengzhu Sun, Michael S. Waterman, Ting Chen	Dynamic programming algorithms for haplotype block partitioning: applications to human chromosome 21 haplotype data	332–340	10.1145/640075.640119	NONE		The American Journal of Human Genetics	Haplotype Block Partition with Limited Resources and Applications to Human Chromosome 21 Haplotype Data	Kui Zhang, Fengzhu Sun, Michael S. Waterman, Ting Chen	73(1): 63-73	2003	10.1086/376437
