Authors	Title (RECOMB 2021 Version)	LNCS Pages	LNCS DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Gryte Satas, Simone Zaccaria, Mohammed El-Kebir, Benjamin J Raphael	DeCiFering the Elusive Cancer Cell Fraction in Tumor Heterogeneity and Evolution	NONE	NONE	bioRxiv 2021.02.27.429196	Cell Systems	DeCiFering the elusive cancer cell fraction in tumor heterogeneity and evolution	Gryte Satas, Simone Zaccaria, Mohammed El-Kebir, Benjamin J Raphael	12(10): 1004-1018	2021	10.1016/j.cels.2021.07.006
Han Li, Xinyi Zhao, Shuya Li, Fangping Wan, Jianyang Zeng, Dan Zhao	MoTSE: an interpretable task similarity estimator for small molecular property prediction tasks	NONE	NONE	bioRxiv 2021.01.13.426608	iScience	Improving molecular property prediction through a task similarity enhanced transfer learning strategy	Han Li, Xinyi Zhao, Shuya Li, Fangping Wan, Dan Zhao, Jianyang Zeng 	25(10): 105231	2022	10.1016/j.isci.2022.105231
Harsh Shrivastava, Xiuwei Zhang, Srinivas Aluru, Le Song	An Unrolled Deep Learning Framework for Single Cell Gene Regulatory Networks	NONE	NONE	bioRxiv 2020.04.23.058149	Journal of Computational Biology	GRNUlar: A deep learning framework for recovering single-cell gene regulatory networks	Harsh Shrivastava , Xiuwei Zhang, Le Song, Srinivas Aluru	29(1):27-44	2022	10.1089/cmb.2021.0437
Hua-Ting Yao, Jerome Waldispuhl, Yann Ponty, Sebastian Will	Taming Disruptive Base Pairs to Reconcile Positive and Negative Structural Design of RNA	NONE	NONE	hal-02987566	NONE					
Jin Li, Jinbo Xu	Study of Real-Valued Distance Prediction For Protein Structure Prediction with Deep Learning	NONE	NONE	bioRxiv 2020.11.26.400523	Bioinformatics	Study of real-valued distance prediction for protein structure prediction with deep learning	Jin Li, Jinbo Xu	37(19):3197–3203	2021	10.1093/bioinformatics/btab333
Kaiyuan Zhu, Welles Robinson, Alejandro Schaffer, Junyan Xu, Eytan Ruppin, Funda Ergun, Yuzhen Ye, S Cenk Sahinalp	Strain Level Microbial Detection and Quantification with Applications to Single Cell Metagenomics	NONE	NONE	bioRxiv 2020.06.12.149245	Nature Communications	Strain level microbial detection and quantification with applications to single cell metagenomics	Kaiyuan Zhu, Alejandro A. Schäffer, Welles Robinson, Junyan Xu, Eytan Ruppin, A. Funda Ergun, Yuzhen Ye, S. Cenk Sahinalp 	13(1):6430	2022	10.1038/s41467-022-33869-7
Martin Grosshauser, Paul Zaharias, Tandy Warnow	Re-evaluating deep neural networks for phylogeny estimation: the issue of taxon sampling	NONE	NONE	NONE	Journal of Computational Biology	Re-evaluating deep neural networks for phylogeny estimation: the issue of taxon sampling	Paul Zaharias, Martin Grosshauser, Tandy Warnow 	29(1):74-89	2022	10.1089/cmb.2021.0383
Natnatee Dokmai, Can Kockan, Kaiyuan Zhu, Xiaofeng Wang, S Cenk Sahinalp, Hyunghoon Cho	Privacy-Preserving Genotype Imputation in a Trusted Execution Environment	NONE	NONE	bioRxiv 2021.02.02.429428	Cell Systems	Privacy-preserving genotype imputation in a trusted execution environment	Natnatee Dokmai, Can Kockan, Kaiyuan Zhu, XiaoFeng Wang, S Cenk Sahinalp, Hyunghoon Cho 	12(10):983-993.e7	2021	10.1016/j.cels.2021.08.001
Nicholas Franzese, Jason Fan, Roded Sharan, Mark DM Leiserson	ScalpelSig: Automated Design of Genomic Panels to Expand Clinical Access to Mutational Signature Analysis	NONE	NONE	NONE	Journal of Computational Biology	ScalpelSig: Automated Design of Genomic Panels to Expand Clinical Access to Mutational Signature Analysis	Nicholas Franzese, Jason Fan, Roded Sharan, Mark D M Leiserson	29(1): 56-73	2022	10.1089/cmb.2021.0453
Pinar Demetci, Rebecca Santorella, Bjorn Sandstede, William Stafford Noble, Ritambhara Singh	Gromov-Wasserstein optimal transport to align single-cell multi-omics data	NONE	NONE	bioRxiv 2020.04.28.066787	Journal of Computational Biology	Gromov-Wasserstein optimal transport to align single-cell multi-omics data	Pinar Demetci, Rebecca Santorella, Björn Sandstede, William Stafford Noble, Ritambhara Singh	29(1): 3-18	2021	10.1089/cmb.2021.0446
Rami Nasser, Yonina Eldar, Roded Sharan	Deep unfolding for non-negative matrix factorization with application to mutational signature analysis	NONE	NONE	arXiv:2108.09138	Journal of Computational Biology	Deep Unfolding for Non-Negative Matrix Factorization with Application to Mutational Signature Analysis	Rami Nasser, Yonina C. Eldar, Roded Sharan	29(1):45-55	2022	10.1089/cmb.2021.0438
Ron Zeira, Max Land, Ben Raphael	Alignment and Integration of Spatial Transcriptomics Data	NONE	NONE	bioRxiv 2021.03.16.435604	Nature Methods	Alignment and integration of spatial transcriptomics data	Ron Zeira, Max Land, Alexander Strzalkowski, Benjamin J Raphael	19(5):567-575	2022	10.1038/s41592-022-01459-6
Ruochi Zhang, Jianzhu Ma, Jian Ma	Towards the prediction of higher-order genetic interactions	NONE	NONE	bioRxiv 2020.11.26.400739	Cell Systems	Towards the prediction of higher-order genetic interactions	Ruochi Zhang, Jianzhu Ma, Jian Ma	to appear	2025	10.1016
Samuel Sledzieski, Rohit Singh, Lenore Cowen, Bonnie Berger	Sequence-based prediction of protein-protein interactions: a structure-aware interpretable deep learning model	NONE	NONE	bioRxiv 2021.01.22.427866	Cell Systems	D-SCRIPT translates genome to phenome with sequence-based, structure-aware, genome-scale predictions of protein-protein interactions	Samuel Sledzieski, Rohit Singh, Lenore Cowen, Bonnie Berger	12(10):969-982.e6	2021	10.1016/j.cels.2021.08.010
Serhan Yılmaz, Marzieh Ayati, Daniela Schlatzer, A Ercument Cicek, Mark Chance, Mehmet Koyuturk	Robust Inference of Kinase Activity Using Functional Networks	NONE	NONE	bioRxiv 2020.05.01.062802	Nature Communications	Robust inference of kinase activity using functional networks	Serhan Yılmaz, Marzieh Ayati, Daniela Schlatzer, A Ercument Cicek, Mark Chance, Mehmet Koyuturk	12(1):1177	2021	10.1038/s41467-021-21211-6
Shahab Sarmashghi, Metin Balaban, Eleonora Rachtman, Behrouz Touri, Siavash Mirarab, Vineet Bafna	Estimating repeat spectra and genome length from low-coverage genome skims with RESPECT	NONE	NONE	bioRxiv 2021.01.28.428636	PLOS Computational Biology	Estimating repeat spectra and genome length from low-coverage genome skims with RESPECT	Shahab Sarmashghi, Metin Balaban, Eleonora Rachtman, Behrouz Touri, Siavash Mirarab, Vineet Bafna	17(11):e1009449	2021	10.1371/journal.pcbi.1009449
Siavash Raeisi Dehkordi, Jens Luebeck, Vineet Bafna	FaNDOM: Fast Nested Distance-based seeding of Optical Maps	NONE	NONE	NONE	Patterns	FaNDOM: Fast nested distance-based seeding of optical maps	Siavash Raeisi Dehkordi, Jens Luebeck, Vineet Bafna	2(5):100248	2021	10.1016/j.patter.2021.100248
Tianyi Sun, Dongyuan Song, Wei Vivian Li, Jingyi Jessica Li	scDesign2: an interpretable simulator that generates high-fidelity single-cell gene expression count data with gene correlations captured	NONE	NONE	bioRxiv 2020.11.17.387795	Genome Biology	scDesign2: a transparent simulator that generates high-fidelity single-cell gene expression count data with gene correlations captured	Tianyi Sun, Dongyuan Song, Wei Vivian Li, Jingyi Jessica Li	22: 163	2021	10.1186/s13059-021-02367-2
Wei Vivian Li, Yanzeng Li	scLink: Inferring Sparse Gene Co-expression Networks from Single-cell Expression Data	NONE	NONE	bioRxiv 2020.09.19.304956	Genomics, Proteomics & Bioinformatics	scLink: Inferring Sparse Gene Co-Expression Networks from Single-Cell Expression Data	Wei Vivian Li, Yanzeng Li 	19(3):475–492	2021	10.1016/j.gpb.2020.11.006
Xiang Zhou, Hua Chai, Yuansong Zeng, Huiying Zhao, Ching-Hsing Luo, Yuedong Yang	scAdapt: Virtual adversarial domain adaptation network for single cell RNA-seq data classification across platforms and species	NONE	NONE	bioRxiv 2021.01.18.427083	Briefings in Bioinformatics	scAdapt: Virtual adversarial domain adaptation network for single cell RNA-seq data classification across platforms and species	Xiang Zhou, Hua Chai, Yuansong Zeng, Huiying Zhao, Yuedong Yang	22(6):bbab281	2021	10.1093/bib/bbab281
Xinhao Liu, Huw A Ogilvie, Luay Nakhleh	Variational Inference Using Approximate Likelihood Under the Coalescent With Recombination	NONE	NONE	bioRxiv 2020.08.19.258137	Genome Research	Variational inference using approximate likelihood under the coalescent with recombination	Xinhao Liu, Huw A Ogilvie, Luay Nakhleh	31(11): 2107-2119	2021	10.1101/gr.273631.120
Yuepeng Jiang, Stefano Rensi, Sheng Wang, Russ Altman	DrugOrchestra: Jointly predicting drug response, targets, and side effects via deep multi-task learning	NONE	NONE	bioRxiv 2020.11.17.385757	NONE					
Yueyu Jiang, Metin Balaban, Siavash Mirarab	DEPP: Deep Learning Enables Extending Species Trees using Single Genes	NONE	NONE	bioRxiv 2021.01.22.427808	Systematic Biology	DEPP: Deep Learning Enables Extending Species Trees using Single Genes	Yueyu Jiang, Metin Balaban, Qiyun Zhu, Siavash Mirarab	72(1):17	2023	10.1093/sysbio/syac031
Lupeng Kong, Fusong Ju, Wei-mou Zheng, Jianwei Zhu, Shiwei Sun, Jinbo Xu,, Dongbo Bu	ProALIGN: directly learning alignments for protein structure prediction via exploiting context-specific alignment motifs	NONE	NONE	bioRxiv 2020.12.28.424539	Journal of Computational Biology	ProALIGN: Directly Learning Alignments for Protein Structure Prediction via Exploiting Context-Specific Alignment Motifs	Lupeng Kong, Fusong Ju, Wei-mou Zheng, Jianwei Zhu, Shiwei Sun, Jinbo Xu, Dongbo Bu 	29(2): 92-105	2022	10.1089/cmb.2021.0430
Yuxuan Du, Sarah M. Laperriere, Jed Fuhrman,, Fengzhu Sun	HiCzin: Normalizing metagenomic Hi-C data and detecting spurious contacts using zero-inflated negative binomial regression	NONE	NONE	bioRxiv 2021.03.01.433489	Journal of Computational Biology	Normalizing Metagenomic Hi-C Data and Detecting Spurious Contacts Using Zero-Inflated Negative Binomial Regression	Yuxuan Du, Sarah M. Laperriere, Jed Fuhrman, Fengzhu Sun	29(2): 106-120	2022	10.1089/cmb.2021.0439
Hongyu Zheng, Cong Ma,, Carl Kingsford	Deriving Ranges of Optimal Estimated Transcript Expression due to Non-identifiability	NONE	NONE	bioRxiv 2019.12.13.875625	Journal of Computational Biology	Deriving Ranges of Optimal Estimated Transcript Expression due to Nonidentifiability	Hongyu Zheng, Cong Ma, Carl Kingsford	29(2): 121-139	2022	10.1089/cmb.2021.0444
Yoshihiro Shibuya, Djamal Belazzougui,, Gregory Kucherov	Set-Min sketch: a probabilistic map for power-law distributions with application to k-mer annotation	NONE	NONE	bioRxiv 2020.11.14.382713	Journal of Computational Biology	Set-Min Sketch: A Probabilistic Map for Power-Law Distributions with Application to k-Mer Annotation	Yoshihiro Shibuya, Djamal Belazzougui, Gregory Kucherov	29(2): 140-154	2022	10.1089/cmb.2021.0429
Antonio Blanca, Robert S. Harris, David Koslicki,, Paul Medvedev	The statistics of k-mers from a sequence undergoing a simple mutation process without spurious matches	NONE	NONE	bioRxiv 2021.01.15.426881	Journal of Computational Biology	The Statistics of k-mers from a Sequence Undergoing a Simple Mutation Process Without Spurious Matches	Antonio Blanca, Robert S. Harris, David Koslicki, Paul Medvedev	29(2): 155-168	2022	10.1089/cmb.2021.0431
Massimiliano Rossi, Marco Oliva, Ben Langmead, Travis Gagie,, Christina Boucher	MONI: A Pangenomics Index for Finding MEMs 	NONE	NONE	bioRxiv 2021.07.06.451246	Journal of Computational Biology	MONI: A Pangenomic Index for Finding Maximal Exact Matches	Massimiliano Rossi, Marco Oliva, Ben Langmead, Travis Gagie, Christina Boucher	29(2): 169-187	2022	10.1089/cmb.2021.0290
Jim Shaw, Yun William Yu	Practical probabilistic and graphical formulations of long-read polyploid haplotype phasing	NONE	NONE	bioRxiv 2020.11.06.371799	Journal of Computational Biology	flopp: Extremely Fast Long-Read Polyploid Haplotype Phasing by Uniform Tree Partitioning	Jim Shaw, Yun William Yu	29(2): 195-211	2022	10.1089/cmb.2021.0436
