#Year	2019										
#Location	Washington, DC, USA										
#Dates	May 5 - 8										
#Website	https://recomb.org/recomb2019										
#PC_Chair	Lenore J. Cowen										
#Organization_Committee	Max Alekseyev (co-chair), Teresa Przytycka (co-chair), Pavel Avdeyev, Jan Hoinka, Chanson Benjamin, Damian Wojtowicz, Rebecca Sarto Basso, Alexander Hopkins-Ives										
#Keynotes	Carlos D. Bustamante, Rachel Kolodny, Mihai Pop, Franziska Michor, Eytan Ruppin, Alfonso Valencia										
#Proceedings_Type	LNCS										
#Proceedings_Volume	11467										
#Authors	RECOMB 2019 Paper Title (Original)	LNCS 11467 Pages	LNCS 11467 DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Year	Journal Version DOI (Check for hallucinations)
Weihua Pan, Tao Jiang, Stefano Lonardi	OMGS: Optical Map-Based Genome Scaffolding	190-207	10.1007/978-3-030-17083-7_12	bioRxiv 585794	10.1101	Journal of Computational Biology	OMGS: Optical Map-Based Genome Scaffolding	Weihua Pan, Tao Jiang, Stefano Lonardi	27(4): 519-533	2020	10.1089/cmb.2019.0310
Leonardo Pellegrina, Cinzia Pizzi, Fabio Vandin	Fast Approximation of Frequent k-mers and Applications to Metagenomics	208-226	10.1007/978-3-030-17083-7_13	arXiv:1902.10168	10.4855	Journal of Computational Biology	Fast approximation of frequent k-mers and applications to metagenomics	Leonardo Pellegrina, Cinzia Pizzi, Fabio Vandin	27(4): 534-549	2020	10.1089/cmb.2019.0314
Kristoffer Sahlin, Paul Medvedev	De Novo Clustering of Long-Read Transcriptome Data Using a Greedy, Quality-Value Based Algorithm	227-242	10.1007/978-3-030-17083-7_14	bioRxiv 463463	10.1101	Journal of Computational Biology	De novo clustering of long-read transcriptome data using a greedy, quality-value based algorithm	Kristoffer Sahlin, Paul Medvedev	27(4): 472-484	2020	10.1089/cmb.2019.0313
Itay Sason, Damian Wojtowicz, Welles Robinson, Mark D. M. Leiserson, Teresa M. Przytycka, Roded Sharan	A Sticky Multinomial Mixture Model of Strand-Coordinated Mutational Processes in Cancer	243-255	10.1007/978-3-030-17083-7_15	NONE		iScience	A sticky multinomial mixture model of strand-coordinated mutational processes in cancer	Itay Sason, Damian Wojtowicz, Welles Robinson, Mark D. M. Leiserson, Teresa M. Przytycka, Roded Sharan	23(3): 100900	2020	10.1016/j.isci.2020.100900
Ziheng Wang, Grace H. T. Yeo, Richard Sherwood, David Gifford	Disentangled Representations of Cellular Identity	256-271	10.1007/978-3-030-17083-7_16	NONE		NONE					
Ye Wu, Ruibang Luo, Henry C. M. Leung, Hing-Fung Ting, Tak-Wah Lam	RENET: A Deep Learning Approach for Extracting Gene-Disease Associations from Literature	272-284	10.1007/978-3-030-17083-7_17	NONE		NONE					
Metin Balaban, Shahab Sarmashghi, Siavash Mirarab	APPLES: Fast Distance-Based Phylogenetic Placement	287-288	10.1007/978-3-030-17083-7	bioRxiv 475566	10.1101	Systematic Biology	APPLES: Scalable distance-based phylogenetic placement with or without alignments	Metin Balaban, Shahab Sarmashghi, Siavash Mirarab	69(3): 566-578	2020	10.1093/sysbio/syz063
Bahar Behsaz, Hosein Mohimani, Alexey Gurevich, Andrey Prjibelski, Mark F. Fisher, Larry Smarr, Pieter C. Dorrestein, Joshua S. Mylne, Pavel A. Pevzner	De Novo Peptide Sequencing Reveals a Vast Cyclopeptidome in Human Gut and Other Environments	289-291	10.1007/978-3-030-17083-7	bioRxiv 521872	10.1101	Cell Systems	De novo peptide sequencing reveals a vast cyclopeptidome in human gut and other environments	Bahar Behsaz, Hosein Mohimani, Alexey Gurevich, Andrey Prjibelski, Mark F. Fisher, Larry Smarr, Pieter C. Dorrestein, Joshua S. Mylne, Pavel A. Pevzner	10(1): 99-108	2020	10.1016/j.cels.2019.11.007
Dexiong Chen, Laurent Jacob, Julien Mairal	Biological Sequence Modeling with Convolutional Kernel Networks	292-293	10.1007/978-3-030-17083-7	bioRxiv 217257	10.1101	Bioinformatics	Biological sequence modeling with convolutional kernel networks	Dexiong Chen, Laurent Jacob, Julien Mairal	35(18): 3294-3302	2019	10.1093/bioinformatics/btz094
Van Hoan Do, Mislav Blažević, Pablo Monteagudo, Luka Borozan, Khaled Elbassioni, Sören Laue, Francisca Rojas Ringeling, Domagoj Matijević, Stefan Canzar	Dynamic Pseudo-time Warping of Complex Single-Cell Trajectories	294-296	10.1007/978-3-030-17083-7	bioRxiv 522672	10.1101	NONE					
Rebecca Elyanow, Bianca Dumitrascu, Barbara E. Engelhardt, Benjamin J. Raphael	netNMF-sc: A Network Regularization Algorithm for Dimensionality Reduction and Imputation of Single-Cell Expression Data	297-298	10.1007/978-3-030-17083-7	bioRxiv 544346	10.1101	Genome Research	netNMF-sc: leveraging gene-gene interactions for imputation and dimensionality reduction in single-cell expression analysis	Rebecca Elyanow, Bianca Dumitrascu, Barbara E. Engelhardt, Benjamin J. Raphael	30(2): 195-204	2020	10.1101/gr.251603.119
Brian Hie, Hyunghoon Cho, Benjamin DeMeo, Bryan Bryson, Bonnie Berger	Geometric Sketching of Single-Cell Data Preserves Transcriptional Structure	299-301	10.1007/978-3-030-17083-7	bioRxiv 536730	10.1101	Cell Systems	Geometric sketching compactly summarizes the single-cell transcriptomic landscape	Brian Hie, Hyunghoon Cho, Benjamin D. DeMeo, Bryan Bryson, Bonnie Berger	8(6): 483-493.e7	2019	10.1016/j.cels.2019.05.003
Can Kockan, Kaiyuan Zhu, Natnatee Dokmai, Nikolai Karpov, M. Oguzhan Kulekci, David P. Woodruff, S. Cenk Sahinalp	Sketching Algorithms for Genomic Data Analysis and Querying in a Secure Enclave	302-304	10.1007/978-3-030-17083-7	bioRxiv 468355	10.1101	Nature Methods	Sketching algorithms for genomic data analysis and querying in a secure enclave	Can Kockan, Kaiyuan Zhu, Natnatee Dokmai, Nikolai Karpov, M. Oguzhan Kulekci, David P. Woodruff, S. Cenk Sahinalp	17(3): 295-301	2020	10.1038/s41592-020-0761-8
Yunan Luo, Jianzhu Ma, Xiaoming Zhao, Yufeng Su, Yang Liu, Trey Ideker, Jian Peng	Mitigating Data Scarcity in Protein Binding Prediction Using Meta-Learning	305-307	10.1007/978-3-030-17083-7	bioRxiv 519413	10.1101	NONE					
Joel Mefford, Danny Park, Zhili Zheng, Arthur Ko, Mika Ala-Korpela, Markku Laakso, Paivi Pajukanta, Jian Yang, John Witte, Noah Zaitlen	Efficient Estimation and Applications of Cross-Validated Genetic Predictions	308-310	10.1007/978-3-030-17083-7	bioRxiv 517821	10.1101	Journal of Computational Biology	Efficient Estimation and Applications of Cross-Validated Genetic Predictions to Polygenic Risk Scores and Linear Mixed Models	Joel Mefford, Danny Park, Zhili Zheng, Arthur Ko, Mika Ala-Korpela, Markku Laakso, Päivi Pajukanta, Jian Yang, John Witte, Noah Zaitlen	27(4): 550-564	2020	10.1089/cmb.2019.0315
Matthew A. Myers, Gryte Satas, Benjamin J. Raphael	Inferring Tumor Evolution from Longitudinal Samples	311	10.1007/978-3-030-17083-7	bioRxiv 526814	10.1101	Cell Systems	CALDER: Inferring Phylogenetic Trees from Longitudinal Tumor Samples	Matthew A. Myers, Gryte Satas, Benjamin J. Raphael	8(6): 514–522.e5	2019	10.1016/j.cels.2019.05.010
Ali Pazokitoroudi, Yue Wu, Kathryn S. Burch, Kangcheng Hou, Bogdan Pasaniuc, Sriram Sankararaman	Scalable Multi-component Linear Mixed Models with Application to SNP Heritability Estimation	312-313	10.1007/978-3-030-17083-7	bioRxiv 522003	10.1101	Nature Communications	Efficient variance components analysis across millions of genomes	Ali Pazokitoroudi, Yue Wu, Kathryn S. Burch, Kangcheng Hou, Aaron Zhou, Bogdan Pasaniuc & Sriram Sankararaman	11(1): 4020	2020	10.1038/s41467-020-17576-9
Shahab Sarmashghi and Vineet Bafna	A Note on Computing Interval Overlap Statistics	314-315	10.1007/978-3-030-17083-7	bioRxiv 517987	10.1101	Cell Systems	Computing the Statistical Significance of Overlap between Genome Annotations with iStat	Shahab Sarmashghi and Vineet Bafna	8(6): p523-529.e4	2019	10.1016/j.cels.2019.05.006
Mike Thompson, Zeyuan Johnson Chen, Elior Rahmani, Eran Halperin	Distinguishing Biological from Technical Sources of Variation Using a Combination of Methylation Datasets	316-317	10.1007/978-3-030-17083-7	bioRxiv 521146	10.1101	Genome Biology	CONFINED: distinguishing biological from technical sources of variation by leveraging multiple methylation datasets	Mike Thompson, Zeyuan Johnson Chen, Elior Rahmani & Eran Halperin	20(1): 138	2019	10.1186/s13059-019-1743-y
Sheng Wang, Emily Flynn, Russ B. Altman	GRep: Gene Set Representation via Gaussian Embedding	318-319	10.1007/978-3-030-17083-7	bioRxiv 519033	10.1101	Nature Machine Intelligence	Gaussian embedding for large-scale gene set analysis	Sheng Wang, Emily R. Flynn & Russ B. Altman	2(7): 387–395	2020	10.6084/m9.figshare.11341181.v1
Yijie Wang, Jan Hoinka, Teresa M. Przytycka	Accurate Sub-population Detection and Mapping Across Single Cell Experiments with PopCorn	320-3321	10.1007/978-3-030-17083-7	bioRxiv 485979	10.1101	Cell Systems	Subpopulation Detection and Their Comparative Analysis across Single-Cell Experiments with scPopCorn	Yijie Wang ∙ Jan Hoinka ∙ Teresa M. Przytycka	8(6): 506–513.e5	2019	10.1016/j.cels.2019.05.007
Yue Wu, Anna Yaschenko, Mohammadreza Hajy Heydary, Sriram Sankararaman	Fast Estimation of Genetic Correlation for Biobank-Scale Data	322-323	10.1007/978-3-030-17083-7	bioRxiv 525055	10.1101	American Journal of Human Genetics	Fast estimation of genetic correlation for biobank-scale data	Yue Wu, Anna Yaschenko, Mohammadreza Hajy Heydary, Sriram Sankararaman	109(1): 24-32	2022	10.1016/j.ajhg.2021.11.015
Jinbo Xu	Distance-Based Protein Folding Powered by Deep Learning	324-325	10.1007/978-3-030-17083-7	arXiv:1811.03481	10.4855	Proceedings of the National Academy of Sciences	Distance-based protein folding powered by deep learning	Jinbo Xu	116(34): 16856-16865	2019	10.1073/pnas.1821309116
Yang Yang, Yang Zhang, Bing Ren, Jesse Dixon, Jian Ma	Comparing 3D Genome Organization in Multiple Species Using Phylo-HMRF	326-327	10.1007/978-3-030-17083-7	bioRxiv 552505	10.1101	Cell Systems	Comparing 3D Genome Organization in Multiple Species Using Phylo-HMRF	Yang Yang, Yang Zhang, Bing Ren, Jesse R. Dixon, Jian Ma	8(6): 494-505.e14	2019	10.1016/j.cels.2019.05.011
Jesse M. Zhang, Govinda M. Kamath, David N. Tse	Towards a Post-clustering Test for Differential Expression	328-329	10.1007/978-3-030-17083-7	bioRxiv 463265	10.1101	Cell Systems	Valid Post-clustering Differential Analysis for Single-Cell RNA-Seq	Jesse M. Zhang, Govinda M. Kamath, David N. Tse	9(4): 383-392.e6	2019	10.1016/j.cels.2019.07.012
Martin J. Zhang, Fei Xia, James Zou	AdaFDR: A Fast, Powerful and Covariate-Adaptive Approach to Multiple Hypothesis Testing 	330-333	10.1007/978-3-030-17083-7	bioRxiv 496372	10.1101	Nature Communications	Fast and covariate-adaptive method amplifies detection power in large-scale multiple hypothesis testing	Martin J. Zhang, Fei Xia, James Zou 	10(1): 3433	2019	10.1038/s41467-019-11247-0
