Authors	RECOMB 2016 Paper Title (Original)	LNCS 9649 Pages	LNCS 9649 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Mohammed El-Kebir, Gryte Satas, Layla Oesper, Benjamin J. Raphael	Multi-State Perfect Phylogeny Mixture Deconvolution and Applications to Cancer Sequencing	251-251	10.1007/978-3-319-31957-5							
Katharina Jahn, Jack Kuipers, Niko Beerenwinkel	Tree Inference for Single-Cell Data	252-252	10.1007/978-3-319-31957-5							
Yuqing Yang, Ning Chen, Ting Chen	mLDM: A New Hierarchical Bayesian Statistical Model for Sparse Microbial Association Discovery	253-254	10.1007/978-3-319-31957-5							
Yunan Luo, Jianyang Zeng, Bonnie Berger, Jian Peng	Low-Density Locality-Sensitive Hashing Boosts Metagenomic Binning	255-257	10.1007/978-3-319-31957-5							
Sergey Nurk, Dmitry Meleshko, Anton Korobeynikov, Pavel Pevzner	metaSPAdes: A New Versatile de novo Metagenomics Assembler	258-258	10.1007/978-3-319-31957-5							
Shashank Singh, Sabrina Rashid, Saket Navlakha, Ziv Bar-Joseph	Distributed Gradient Descent in Bacterial Food Search	259-260	10.1007/978-3-319-31957-5							
Phuong Dao, Jan Hoinka, Yijie Wang, Mayumi Takahashi, Jiehua Zhou, Fabrizio Costa, John Rossi, John Burnett, Rolf Backofen, Teresa M. Przytycka	AptaTRACE: Elucidating Sequence-Structure Binding Motifs by Uncovering Selection Trends in HT-SELEX Experiments	261-262	10.1007/978-3-319-31957-5							
John Wiedenhoeft, Eric Brugel, Alexander Schliep	Fast Bayesian Inference of Copy Number Variants Using Hidden Markov Models with Wavelet Compression	263-263	10.1007/978-3-319-31957-5							
Yang Li, Shiguo Zhou, David C. Schwartz, Jian Ma	Allele-Specific Quantification of Structural Variations in Cancer Genomes	264-264	10.1007/978-3-319-31957-5							
Yu Lin, Max W. Shen, Jeffrey Yuan, Mark Chaisson, Pavel P. Pevzner	Assembly of Long Error-Prone Reads Using de Bruijn Graphs	265-265	10.1007/978-3-319-31957-5							
Andreas D.M. Gunawan, Bhaskar Das Gupta, Louxin Zhang	Locating a Tree in a Reticulation-Visible Network in Cubic Time	266-266	10.1007/978-3-319-31957-5							
Somaye Hashemifar, Qixing Huang, Jinbo Xu	Joint Alignment of Multiple Protein-Protein Interaction Networks via Convex Optimization	267-269	10.1007/978-3-319-31957-5							
Xiuli Ma, Guangyu Zhou, Jingjing Wang, Jian Peng, Jiawei Han	Complexes Detection in Biological Networks via Diversified Dense Subgraphs Mining	270-272	10.1007/978-3-319-31957-5							
