Authors	RECOMB 2018 Paper Title (Original)	LNCS 10812 Pages	LNCS 10812 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Mehrdad Bakhtiari, Sharona Shleizer-Burko, Melissa Gymrek, Vikas Bansal, Vineet Bafna	Targeted Genotyping of Variable Number Tandem Repeats with AdVNTR	243-244	10.1007/978-3-319-89929-9							
Tristan Bepler, Andrew Morin, Alex J. Noble, Julia Brasch, Lawrence Shapiro, Bonnie Berger	Positive-Unlabeled Convolutional Neural Networks for Particle Picking in Cryo-electron Micrographs	245-247	10.1007/978-3-319-89929-9		Nature Methods	Positive-unlabeled convolutional neural networks for particle picking in cryo-electron micrographs	Tristan Bepler, Andrew Morin, Micah Rapp, Julia Brasch, Lawrence Shapiro, Alex J. Noble, Bonnie Berger	16:1153–1160	2018	10.1038/s41592-019-0575-8
Édouard Bonnet, Paweł Rzążewski, Florian Sikora	Designing RNA Secondary Structures Is Hard	248-250	10.1007/978-3-319-89929-9	arXiv:1710.11513 [cs.DS]	Journal of Computational Biology	Designing RNA Secondary Structures Is Hard	Édouard Bonnet, Paweł Rzążewski, Florian Sikora	27(3):302-316	2020	10.1089/cmb.2019.0420
Hyunghoon Cho, Bonnie Berger, Jian Peng	Generalizable Visualization of Mega-Scale Single-Cell Data	251-253	10.1007/978-3-319-89929-9							
G. Durif, L. Modolo, J. E. Mold, S. Lambert-Lacroix, F. Picard	Probabilistic Count Matrix Factorization for Single Cell Expression Data Analysis	254-255	10.1007/978-3-319-89929-9		Bioinformatics	Probabilistic count matrix factorization for single cell expression data analysis	Ghislain Durif, Laurent Modolo, Jeff E Mold, Sophie Lambert-Lacroix, Franck Picard	35(20):4011-4019	2019	10.1093/bioinformatics/btz177
Stefan Hammer, Yann Ponty, Wei Wang, Sebastian Will	Fixed-Parameter Tractable Sampling for RNA Design with Multiple Target Structures	256-258	10.1007/978-3-319-89929-9							
Linh Huynh and Fereydoun Hormozdiari	Contribution of Structural Variation to Genome Structure: TAD Fusion Discovery and Ranking	259-260	10.1007/978-3-319-89929-9							
Mikhail Kolmogorov, Jeffrey Yuan, Yu Lin, Pavel Pevzner	Assembly of Long Error-Prone Reads Using Repeat Graphs	261-262	10.1007/978-3-319-89929-9							
Mark D. M. Leiserson, Jason Fan, Anthony Cannistra, Inbar Fried, Tim Lim, Thomas Schaffner, Mark Crovella, Benjamin Hescott	A Multi-species Functional Embedding Integrating Sequence and Network Structure	263-265	10.1007/978-3-319-89929-9							
Yunan Luo, Jianzhu Ma, Yang Liu, Qing Ye, Trey Ideker, Jian Peng	Deciphering Signaling Specificity with Deep Neural Networks	266-268	10.1007/978-3-319-89929-9							
Salem Malikic, Katharina Jahn, Jack Kuipers, S. Cenk Sahinalp, Niko Beerenwinkel	Integrative Inference of Subclonal Tumour Evolution from Single-Cell and Bulk Sequencing Data	269-270	10.1007/978-3-319-89929-9							
Prashant Pandey, Fatemeh Almodaresi, Michael A. Bender, Michael Ferdman, Rob Johnson, Rob Patro	Mantis: A Fast, Small, and Exact Large-Scale Sequence-Search Index	271-273	10.1007/978-3-319-89929-9							
Elior Rahmani, Regev Schweiger, Saharon Rosset, Sriram Sankararaman, Eran Halperin	Tensor Composition Analysis Detects Cell-Type Specific Associations in Epigenetic Studies	274-275	10.1007/978-3-319-89929-9							
Shahab Sarmashghi, Kristine Bohmann, M. Thomas P. Gilbert, Vineet Bafna, Siavash Mirarab	Assembly-Free and Alignment-Free Sample Identification Using Genome Skims	276-277	10.1007/978-3-319-89929-9		Genome Biology	Skmer: assembly-free and alignment-free sample identification using genome skims	Shahab Sarmashghi, Kristine Bohmann, M. Thomas P. Gilbert, Vineet Bafna, Siavash Mirarab	20(1):34	2019	10.1186/s13059-019-1632-4
Rebecca Sarto Basso, Dorit S. Hochbaum, Fabio Vandin	Efficient Algorithms to Discover Alterations with Complementary Functional Association in Cancer	278-279	10.1007/978-3-319-89929-9		PLOS Computational Biology	Efficient algorithms to discover alterations with complementary functional association in cancer	Rebecca Sarto Basso, Dorit S. Hochbaum, Fabio Vandin	15(5):e1006802	2019	10.1371/journal.pcbi.1006802
Ariya Shajii, Ibrahim Numanagić, Bonnie Berger	Latent Variable Model for Aligning Barcoded Short-Reads Improves Downstream Analyses	280-282	10.1007/978-3-319-89929-9							
Dana Silverbush, Simona Cristea, Gali Yanovich, Tamar Geiger, Niko Beerenwinkel, Roded Sharan	ModulOmics: Integrating Multi-Omics Data to Identify Cancer Driver Modules.	283-284	10.1007/978-3-319-89929-9	bioRxiv 288399						
Jochen Singer, Jack Kuipers, Katharina Jahn, Niko Beerenwinkel	SCIO: Single-Cell Mutation Identification via Phylogenetic Inference	285-286	10.1007/978-3-319-89929-9							
Yijie Wang, Jan Hoinka, Piotr Swiderski, Teresa M. Przytycka	AptaBlocks: Accelerating the Design of RNA-Based Drug Delivery Systems	287-288	10.1007/978-3-319-89929-9		Nucleic Acids Research	AptaBlocks: Accelerating the Design of RNA-based Drug Delivery Systems	Yijie Wang, Jan Hoinka, Yong Liang, Tomasz Adamus, Piotr Swiderski, and Teresa M. Przytycka	46(16):8133-8142	2018	10.1093/nar/gky696
Yue Wu, Eleazar Eskin, Sriram Sankararaman	A Unifying Framework for Summary Statistic Imputation	289-290	10.1007/978-3-319-89929-9							
Naomi Yamada, William K. M. Lai, Nina Farrell, B. Franklin Pugh, Shaun Mahony	Characterizing Protein-DNA Binding Event Subtypes in ChIP-Exo Data	291-292	10.1007/978-3-319-89929-9							
Yang Yang, Quanquan Gu, Takayo Sasaki, Julianna Crivello, Rachel O'Neill, David M. Gilbert, Jian Ma	Continuous-Trait Probabilistic Model for Comparing Multi-species Functional Genomic Data.	293-294	10.1007/978-3-319-89929-9		Cell Systems	Continuous-Trait Probabilistic Model for Comparing Multi-species Functional Genomic Data	Yang Yang, Quanquan Gu, Yang Zhang, Takayo Sasaki, Julianna Crivello, Rachel J. O'Neill, David M. Gilbert, Jian Ma	7(2):208-218.e11	2018	10.1016/j.cels.2018.05.022
Tian-Ming Zhou, Sheng Wang, Jinbo Xu	Deep Learning Reveals Many More Inter-protein Residue-Residue Contacts than Direct Coupling Analysis	295-296	10.1007/978-3-319-89929-9							
