Authors	RECOMB 2020 Paper Title (Original)	LNCS 12874 Pages	LNCS 12874 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Hongyu Zheng, Carl Kingsford, Guillaume Marçais	Lower Density Selection Schemes via Small Universal Hitting Sets with Short Remaining Path Length	202-217	10.1007/978-3-030-45257-5_13	arXiv:2001.06550	Journal of Computational Biology	Lower Density Selection Schemes via Small Universal Hitting Sets with Short Remaining Path Length 	Hongyu Zheng, Carl Kingsford, Guillaume Marçais	28(4): 395-409	2021	10.1089/cmb.2020.0432
Jasmijn A. Baaijens, Leen Stougie, Alexander Schönhuth	Strain-Aware Assembly of Genomes from Mixed Samples Using Flow Variation Graphs	221-222	10.1007/978-3-030-45257-5_14	bioRxiv 645721						
Tavor Z. Baharav, Govinda M. Kamath, David N. Tse, Ilan Shomorony	Spectral Jaccard Similarity: A New Approach to Estimating Pairwise Sequence Alignments	223-225	10.1007/978-3-030-45257-5_15	bioRxiv 800581	Patterns	Spectral Jaccard Similarity: A new approach to estimating pairwise sequence alignments 	Tavor Z. Baharav, Govinda M. Kamath, David N. Tse, Ilan Shomorony	1(6), 100081	2020	10.1016/j.patter.2020.100081
Anton Bankevich, Pavel Pevzner	MosaicFlye: Resolving Long Mosaic Repeats Using Long Reads	226-228	10.1007/978-3-030-45257-5_16	bioRxiv 2020.01.15.908285						
Nico Borgsmüller, Jose Bonet, Francesco Marass, Abel Gonzalez-Perez, Nuria Lopez-Bigas, Niko Beerenwinkel	Bayesian Non-parametric Clustering of Single-Cell Mutation Profiles	229-230	10.1007/978-3-030-45257-5_17	bioRxiv 2020.01.15.907345	Bioinformatics	BnpC: Bayesian non-parametric clustering of single-cell mutation profiles 	Nico Borgsmüller, Jose Bonet, Francesco Marass, Abel Gonzalez-Perez, Nuria Lopez-Bigas, Niko Beerenwinkel	36(19): 4854-4859	2020	10.1093/bioinformatics/btaa599
Jannis Born, Matteo Manica, Ali Oskooei, Joris Cadow, María Rodríguez Martínez	PaccMannRL: Designing Anticancer Drugs From Transcriptomic Data via Reinforcement Learning	231-233	10.1007/978-3-030-45257-5_18	arXiv:1909.05114	iScience	PaccMannRL: De novo generation of hit-like anticancer molecules from transcriptomic data via reinforcement learning 	Jannis Born, Matteo Manica, Ali Oskooei, Joris Cadow, María Rodríguez Martínez		2021	10.1016/j.isci.2021.102269
Aritra Bose, Myson C. Burch, Agniva Chowdhury, Peristera Paschou, Petros Drineas	CluStrat: A Structure Informed Clustering Strategy for Population Stratification	234-236	10.1007/978-3-030-45257-5_19	bioRxiv 2020.01.15.908228	BMC Bioinformatics	Structure-informed clustering for population stratification in association studies 	Aritra Bose, Myson C. Burch, Agniva Chowdhury, Peristera Paschou, Petros Drineas	24(1): 411	2023	
Nadav Brandes, Nathan Linial, Michal Linial	PWAS: Proteome-Wide Association Study	237-239	10.1007/978-3-030-45257-5_20	bioRxiv 812289						
Christa Caggiano, Barbara Celona, Fleur Garton, Joel Mefford, Brian Black, Catherine Lomen-Hoerth, Andrew Dahl, Noah Zaitlen	Estimating the Rate of Cell Type Degeneration from Epigenetic Sequencing of Cell-Free DNA	240-242	10.1007/978-3-030-45257-5_21	bioRxiv 2020.01.15.907022						
Gizem Caylak, A. Ercument Cicek	Potpourri: An Epistasis Test Prioritization Algorithm via Diverse SNP Selection	243-244	10.1007/978-3-030-45257-5_22	bioRxiv 830216	Journal of Computational Biology	Potpourri: An Epistasis Test Prioritization Algorithm via Diverse SNP Selection	Gizem Caylak, Oznur Tastan, and A. Ercument Cicek	28(4): 365-377	2021	10.1089/cmb.2020.0429
Hyunghoon Cho, Sean Simmons, Ryan Kim, Bonnie Berger	Privacy-Preserving Biomedical Database Queries with Optimal Privacy-Utility Trade-Offs	245-247	10.1007/978-3-030-45257-5_23	bioRxiv 2020.01.16.909010; arXiv:1904.08747	Cell Systems	Privacy-preserving biomedical database queries with optimal privacy-utility trade-offs 	Hyunghoon Cho, Sean Simmons, Ryan Kim, Bonnie Berger	10(5): 408-416	2020	10.1016/j.cels.2020.03.006
Chao Gao, Joshua D. Welch	Iterative Refinement of Cellular Identity from Single-Cell Data Using Online Learning	248-250	10.1007/978-3-030-45257-5_24	bioRxiv 2020.01.16.909861						
Borislav H. Hristov, Bernard Chazelle, Mona Singh	A Guided Network Propagation Approach to Identify Disease Genes that Combines Prior and New Information	251-252	10.1007/978-3-030-45257-5_25	arXiv:2001.06135	Cell Systems	uKIN Combines New and Prior Information with Guided Network Propagation to Accurately Identify Disease Genes 	Borislav H. Hristov, Bernard Chazelle, Mona Singh			
Ruth Johnson, Kathryn S. Burch, Kangcheng Hou, Mario Paciuc, Bogdan Pasaniuc, Sriram Sankararaman	A Scalable Method for Estimating the Regional Polygenicity of Complex Traits	253-254	10.1007/978-3-030-45257-5_26	bioRxiv 2020.01.15.908095	PLOS Computational Biology	Estimation of regional polygenicity from GWAS provides insights into the genetic architecture of complex traits 	Ruth Johnson, Heather E. Wheeler, Kathryn S. Burch, Kangcheng Hou, Mario Paciuc, Bogdan Pasaniuc, Sriram Sankararaman		2021	10.1371/journal.pcbi.1009483
Tyler A. Joseph, Amey P. Pasarkar, Itsik Pe’er	Efficient and Accurate Inference of Microbial Trajectories from Longitudinal Count Data	255-256	10.1007/978-3-030-45257-5_27	bioRxiv 2020.01.10.902163	Cell Systems	Efficient and Accurate Inference of Mixed Microbial Population Trajectories from Longitudinal Count Data 	Tyler A. Joseph, Amey P. Pasarkar, Itsik Pe'er	10(6): 463-469.e6	2020	
Nathan LaPierre, Kodi Taraszka, Helen Huang, Rosemary He, Farhad Hormozdiari, Eleazar Eskin	Identifying Causal Variants by Fine Mapping Across Multiple Studies	257-258	10.1007/978-3-030-45257-5_28	bioRxiv 2020.01.15.908517	PLOS Genetics	Identifying causal variants by fine mapping across multiple studies 	Nathan LaPierre, Kodi Taraszka, Helen Huang, Rosemary He, Farhad Hormozdiari, Eleazar Eskin	17(9): e1009733	2021	10.1371/journal.pgen.1009733
Shuya Li, Fangping Wan, Hantao Shu, Tao Jiang, Dan Zhao, Jianyang Zeng	MONN: A Multi-objective Neural Network for Predicting Pairwise Non-covalent Interactions and Binding Affinities Between Compounds and Proteins	259-260	10.1007/978-3-030-45257-5_29	bioRxiv 2019.12.30.891515	Cell Systems	MONN: a Multi-Objective Neural Network for Predicting Compound-Protein Interactions and Affinities 	Shuya Li, Fangping Wan, Hantao Shu, Tao Jiang, Dan Zhao, Jianyang Zeng		2020	
Yunan Luo, Lam Vo, Hantian Ding, Yufeng Su, Yang Liu, Wesley Wei Qian, Huimin Zhao,Jian Peng	Evolutionary Context-Integrated Deep Sequence Modeling for Protein Engineering	261-263	10.1007/978-3-030-45257-5_30	bioRxiv 2020.01.16.908509	Nature Communications	ECNet is an evolutionary context-integrated deep learning framework for protein engineering 	Yunan Luo, G Jiang, T Yu, Y Liu, Lam Vo, Hantian Ding, Yufeng Su, Wesley Wei Qian, Huimin Zhao, Jian Peng	12(1): 5743	2021	10.1038/s41467-021-25976-8
Uyen Mai, Siavash Mirarab	Log Transformation Improves Dating of Phylogenies	264-265	10.1007/978-3-030-45257-5_31	bioRxiv 2019.12.20.885582	Molecular Biology and Evolution	Log Transformation Improves Dating of Phylogenies 	Uyen Mai, Siavash Mirarab	38(3): 1151-1167	2021	10.1093/molbev/msaa222
Brooks Paige, James Bell, Aurélien Bellet, Adrià Gascón, Daphne Ezer	Reconstructing Genotypes in Private Genomic Databases from Genetic Risk Scores	266-268	10.1007/978-3-030-45257-5_32	bioRxiv 2020.01.15.907808	Journal of Computational Biology	Reconstructing Genotypes in Private Genomic Databases from Genetic Risk Scores 	Brooks Paige, James Bell, Aurélien Bellet, Adrià Gascón, Daphne Ezer	28(5): 435-451	2021	10.1089/cmb.2020.0445
Ahsan Sanaullah, Degui Zhi, Shaojie Zhang	d-PBWT: Dynamic Positional Burrows-Wheeler Transform	269-270	10.1007/978-3-030-45257-5_33	bioRxiv 2020.01.14.906487	Bioinformatics	d-PBWT: dynamic positional Burrows–Wheeler transform 	Ahsan Sanaullah, Degui Zhi, Shaojie Zhang	37(16): 2390-2397	2021	10.1093/bioinformatics/btab117
Itay Sason, Yuexi Chen, Mark D. M. Leiserson, Roded Sharan	A Mixture Model for Signature Discovery from Sparse Mutation Data	271-272	10.1007/978-3-030-45257-5_34	NONE	Genome Medicine	A mixture model for signature discovery from sparse mutation data 	Itay Sason, Yuexi Chen, Mark D. M. Leiserson, Roded Sharan	13(1): 1-12	2021	10.1186/s13073-021-00988-7
Gryte Satas, Simone Zaccaria, Geoffrey Mon, Benjamin J. Raphael	Single-Cell Tumor Phylogeny Inference with Copy-Number Constrained Mutation Losses	273-273	10.1007/978-3-030-45257-5_35	bioRxiv 840355	Cell Systems	SCARLET: Single-Cell Tumor Phylogeny Inference with Copy-Number Constrained Mutation Losses 	Gryte Satas, Simone Zaccaria, Geoffrey Mon, Benjamin J. Raphael	10(4): 323-332.e8	2020	10.1016/j.cels.2020.04.001
Yijie Wang, Justin M. Fear, Isabelle Berger, Hangnoh Lee, Brian Oliver, Teresa M. Przytycka	Reconstruction of Gene Regulatory Networks by Integrating Biological Model and a Recommendation System	274-275	10.1007/978-3-030-45257-5_36	bioRxiv 2020.01.07.898031						
Ruochi Zhang, Jian Ma	Probing Multi-way Chromatin Interaction with Hypergraph Representation Learning	276-277	10.1007/978-3-030-45257-5_37	bioRxiv 2020.01.22.916171	Cell Systems	MATCHA: Probing Multi-way Chromatin Interaction with Hypergraph Representation Learning 	Ruochi Zhang, Jian Ma	10(5): 397-407	2020	10.1016/j.cels.2020.04.004
