Authors	Title (RECOMB 2024 Version)	LNCS 14758 Pages	LNCS 14758 DOI	Preprint	Journal	Title (Journal version)	Journal Authors	Issue and Pages	Journal Year	Journal DOI
Paolo Pellizzoni, Carlos Oliver, Karsten Borgwardt	Structure- and Function-Aware Substitution Matrices via Learnable Graph Matching	288-307	10.1007/978-1-0716-3989-4_18							
Matthew M. Hong, David Froelicher, Ricky Magner, Victoria Popic, Bonnie Berger, Hyunghoon Cho	Secure Discovery of Genetic Relatives Across Large-Scale and Distributed Genomic Datasets	308-313	10.1007/978-1-0716-3989-4_19		Genome Research	Secure discovery of genetic relatives across large-scale and distributed genomic data sets			2024	10.1101/gr.279057.124
Yimin Fan, Yu Li, Jun Ding, Yue Li	GFETM: Genome Foundation-Based Embedded Topic Model for scATAC-seq Modeling	314-319	10.1007/978-1-0716-3989-4_20	bioRxiv 2023.11.09.566403						
Jianyu Yang, Kuangyu Yen, Shaun Mahony	SEM: Size-Based Expectation Maximization for Characterizing Nucleosome Positions and Subtypes	320-323	10.1007/978-1-0716-3989-4_21							
Li Song, Ben Langmead	Centrifuger: Lossless Compression of Microbial Genomes for Efficient and Accurate Metagenomic Sequence Classification	324-327	10.1007/978-1-0716-3989-4_22	bioRxiv 2023.11.15.567129	Genome Biology	Centrifuger: lossless compression of microbial genomes for efficient and accurate metagenomic sequence classification		25(1):106	2024	10.1186/s13059-024-03244-4
Enakshi Saha, Viola Fanfani, Panagiotis Mandros, Marouen Ben Guebila, Jonas Fischer, Katherine Shutta, Kimberly Glass, Dawn DeMeo, Camila Lopes Ramos, John Quackenbush	BONOBO: Bayesian Optimized Sample-Specific Networks Obtained by Omics Data	328-331	10.1007/978-1-0716-3989-4_23	bioRxiv 2023.11.16.567119	Genome Research	Bayesian Inference of Sample-Specific Coexpression Networks		34:1397–1410	2024	10.1101/gr.279117.124
Avantika Lal, David Garfield, Tommaso Biancalani, Gokcen Eraslan	regLM: Designing Realistic Regulatory DNA with Autoregressive Language Models	332-335	10.1007/978-1-0716-3989-4_24	bioRxiv 2024.02.14.580373						
Nathan Guerin, Henry Childs, Pei Zhou, Bruce R. Donald	DexDesign: A New OSPREY-Based Algorithm for Designing de novo D-peptide Inhibitors	336-339	10.1007/978-1-0716-3989-4_25		Journal of Computational Biology	Protocol for Designing De Novo Noncanonical Peptide Binders in OSPREY		31(10):965-974	2024	10.1089/cmb.2024.0669
Ali Osman Berk Şapcı, Siavash Mirarab	Memory-Bound and Taxonomy-Aware K-Mer Selection for Ultra-Large Reference Libraries	340-343	10.1007/978-1-0716-3989-4_26		Genome Research	Memory-Bound k-Mer Selection for Large and Evolutionary Diverse Reference Libraries			2024	10.1101/gr.279339.124
Stefan Schrod, Niklas Lück, Robert Lohmayer, Stefan Solbrig, Tina Wipfler, Katherine H. Shutta, Marouen Ben Guebila, Andreas Schäfer, Tim Beißbarth, Helena U. Zacharias, Peter J. Oefner, John Quackenbush, Michael Altenbuchinger	SpaCeNet: Spatial Cellular Networks from Omics Data	344-347	10.1007/978-1-0716-3989-4_27	bioRxiv 2022.09.01.506219						
Ziting Zhang, Wenxu Wu, Lei Wei, Xiaowo Wang	Discovering and Overcoming the Bias in Neoantigen Identification by Unified Machine Learning Models	348-351	10.1007/978-1-0716-3989-4_28	bioRxiv 2024.02.07.579420						
Myson Burch, Aritra Bose, Gregory Dexter, Laxmi Parida, Petros Drineas	MaSk-LMM: A Matrix Sketching Framework for Linear Mixed Models in Association Studies	352-355	10.1007/978-1-0716-3989-4_29	bioRxiv 2023.11.13.23298469						
Fatemeh Mohebbi, Alexander Zelikovsky, Serghei Mangul, Gerardo Chowell, Pavel Skums	Community Structure and Temporal Dynamics of Viral Epistatic Networks Allow for Early Detection of Emerging Variants with Altered Phenotypes	356-359	10.1007/978-1-0716-3989-4_30	bioRxiv 2023.04.02.535277						
Uyen Mai, Gillian Chu, Benjamin J. Raphael	Maximum Likelihood Inference of Time-Scaled Cell Lineage Trees with Mixed-Type Missing Data	360-363	10.1007/978-1-0716-3989-4_31		Genome Biology	Maximum likelihood inference of time-scaled cell lineage trees with mixed-type missing data using LAML			2025	
Leah L. Weber, Derek Reiman, Mrinmoy S. Roddur, Yuanyuan Qi, Mohammed El-Kebir, Aly A. Khan	TRIBAL: Tree Inference of B Cell Clonal Lineages	364-367	10.1007/978-1-0716-3989-4_32	bioRxiv 2023.11.27.568874						
Uthsav Chitra, Brian Arnold, Hirak Sarkar, Cong Ma, Sereno Lopez-Darwin, Kohei Sanno, Ben Raphael	Mapping the Topography of Spatial Gene Expression with Interpretable Deep Learning	368-371	10.1007/978-1-0716-3989-4_33	bioRxiv 2023.10.10.561757	Nature Methods					10.1038/s41592-024-02503-3
Ali Azizpour, Advait Balaji, Todd J. Treangen, Santiago Segarra	GraSSRep: Graph-Based Self-supervised Learning for Repeat Detection in Metagenomic Assembly	372-376	10.1007/978-1-0716-3989-4_34	 arXiv:2402.09381						
Han Li, Jianyang Zeng, Michael P. Snyder, Sai Zhang	PRS-Net: Interpretable Polygenic Risk Scores via Geometric Learning	377-380	10.1007/978-1-0716-3989-4_35	bioRxiv 2024.02.13.580211	Genome Research	Modeling gene interactions in polygenic prediction via geometric deep learning		35(1):178-187	2025	
Ghanshyam Chandra, Daniel Gibney, Chirag Jain	Haplotype-Aware Sequence Alignment to Pangenome Graphs	381-384	10.1007/978-1-0716-3989-4_36	bioRxiv 2023.11.15.566493	Genome Research	Haplotype-aware sequence alignment to pangenome graphs		34(9):1265–1275	2024	10.1101/gr.279143.124
Ludwig Gräf, Daniel Sens, Liubov Shilova, Francesco Paolo Casale	Disease Risk Predictions with Differentiable Mendelian Randomization	385-389	10.1007/978-1-0716-3989-4_37							
Cameron Park, Shouvik Mani, Nicolas Beltran, Katie Maurer, Satyen Gohil, Shuqiang Li, Teddy Huang, David Knowles, Catherine Wu, Elham Azizi	DIISCO: A Bayesian Framework for Inferring Dynamic Intercellular Interactions from Time-Series Single-Cell Data	390-395	10.1007/978-1-0716-3989-4_38	bioRxiv 2023.11.14.566956						
Lechuan Li, Ruth Dannenfelser, Charlie Cruz, Vicky Yao	Enhancing Gene Set Analysis in Embedding Spaces: A Novel Best-Match Approach	396-399	10.1007/978-1-0716-3989-4_39	bioRxiv 2023.11.21.568145						
Shuai Zeng, Duolin Wang, Lei Jiang, Dong Xu	Prompt-Based Learning on Large Protein Language Models Improves Signal Peptide Prediction	400-405	10.1007/978-1-0716-3989-4_40	bioRxiv 2023.11.04.565642						
Madalina Giurgiu, Nadine Wittstruck, Elias Rodriguez-Fos, Rocio Chamorro-Gonzalez, Lotte Brueckner, Annabell Krienelke-Szymansky, Konstantin Helmsauer, Anne Hartebrodt, Richard P. Koche, Kerstin Haase, Knut Reinert, Anton G. Henssen	Decoil: Reconstructing Extrachromosomal DNA Structural Heterogeneity from Long-Read Sequencing Data	406-411	10.1007/978-1-0716-3989-4_41							
Meir Goldenberg, Loay Mualem, Amit Shahar, Sagi Snir, Adi Akavia	Privacy Preserving Epigenetic PaceMaker: Stronger Privacy and Improved Efficiency	412-416	10.1007/978-1-0716-3989-4_42	bioRxiv 2024.02.15.580590						
Yichen Gu, Jialin Liu, Chen Li, Joshua D. Welch	Mapping Cell Fate Transition in Space and Time	417-420	10.1007/978-1-0716-3989-4_43	bioRxiv 2024.02.12.579941	Nature Biotechnology				2025	10.1038/s41587-025-02688-8
Benjamin Giovanni Iovino, Haixu Tang, Yuzhen Ye	Protein Domain Embeddings for Fast and Accurate Similarity Search	421-424	10.1007/978-1-0716-3989-4_44	bioRxiv 2023.11.27.567555	Genome Research	Protein domain embeddings for fast and accurate similarity search		34:1434–1444	2024	
George I. Austin, Aya Brown Kav, Heekuk Park, Jana Biermann, Anne-Catrin Uhlemann, Tal Korem	Processing-Bias Correction with DEBIAS-M Improves Cross-Study Generalization of Microbiome-Based Prediction Models	425-428	10.1007/978-1-0716-3989-4_45	bioRxiv 2024.02.09.579716	Nature Microbiology	Processing-bias correction with DEBIAS-M improves cross-study generalization of microbiome-based prediction models		1-15	2025	
Harald Melin, Vittorio Zampinetti, Andrew McPherson, Jens Lagergren	VICTree - A Variational Inference Method for Clonal Tree Reconstruction	429-433	10.1007/978-1-0716-3989-4_46	bioRxiv 2024.02.14.580312						
Peter Halmos, Xinhao Liu, Julian Gold, Feng Chen, Li Ding, Benjamin J. Raphael	DeST-OT: Alignment of Spatiotemporal Transcriptomics Data	434-437	10.1007/978-1-0716-3989-4_47	bioRxiv 2024.03.05.583575	Cell Systems	Dest-ot: Alignment of spatiotemporal transcriptomics data		16(2)	2025	
Chih Hao Wu, Suraj Joshi, Welles Robinson, Paul F. Robbins, Russell Schwartz, S. Cenk Sahinalp, Salem Malikic	Determining Optimal Placement of Copy Number Aberration Impacted Single Nucleotide Variants in a Tumor Progression History	438-443	10.1007/978-1-0716-3989-4_48	bioRxiv 2024.03.10.584318						
Tasfia Zahin, Qian Shi, Xiaofei Carl Zang, Mingfu Shao	Accurate Assembly of Circular RNAs with TERRACE	444-447	10.1007/978-1-0716-3989-4_49	bioRxiv 2024.02.09.579380						
Jack Freestone, Lukas Käll, William Stafford Noble, Uri Keich	Semi-supervised Learning While Controlling the FDR with an Application to Tandem Mass Spectrometry Analysis	448-453	10.1007/978-1-0716-3989-4_50	bioRxiv 2023.10.26.564068						
Kaiyuan Zhu, Matthew Jones, Jens Luebeck, Xinxin Bu, Hyerim Yi, King L. Hung, Ivy Tsz-Lo Wong, Shu Zhang, Paul Mischel, Howard Chang, Vineet Bafna	CoRAL Accurately Resolves Extrachromosomal DNA Genome Structures with Long-Read Sequencing	454-457	10.1007/978-1-0716-3989-4_51		Genome Research	CoRAL accurately resolves extrachromosomal DNA genome structures with long-read sequencing			2024	
Boyang Fu, Prateek Anand, Aakarsh Anand, Joel Mefford, Sriram Sankararaman	A Scalable Adaptive Quadratic Kernel Method for Interpretable Epistasis Analysis in Complex Traits	458-461	10.1007/978-1-0716-3989-4_52		Genome Research	A Scalable Adaptive Quadratic Kernel Method for Interpretable Epistasis Analysis in Complex Traits			2024	
Shayesteh Arasti, Puoya Tabaghi, Yasamin Tabatabaee, Siavash Mirarab	Optimal Tree Metric Matching Enables Phylogenomic Branch Length Estimation	462-465	10.1007/978-1-0716-3989-4_53	bioRxiv 2023.11.13.566962						
Cong Ma, Metin Balaban, Jingxian Liu, Siqi Chen, Li Ding, Benjamin J. Raphael	Inferring Allele-Specific Copy Number Aberrations and Tumor Phylogeography from Spatially Resolved Transcriptomics	466-469	10.1007/978-1-0716-3989-4_54	bioRxiv 2024.03.09.584244						
Junming Zhao, Chao Zhang, Yunan Luo	Contrastive Fitness Learning: Reprogramming Protein Language Models for Low-N Learning of Protein Fitness Landscape	470-474	10.1007/978-1-0716-3989-4_55	bioRxiv 2024.02.11.579859						
Moonseong Jeong, Ali Pazokitoroudi, Zhengtong Liu, Sriram Sankararaman	Scalable Summary Statistics-Based Heritability Estimation Method with Individual Genotype Level Accuracy	475-478	10.1007/978-1-0716-3989-4_56		Genome Research	Scalable summary-statistics-based heritability estimation method with individual genotype level accuracy		34(9):1286-1293	2024	
Haiyang Bian, Yixin Chen, Xiaomin Dong, Chen Li, Lei Wei, Xuegong Zhang	scMulan: A Multitask Generative Pre-Trained Language Model for Single-Cell Analysis	479-482	10.1007/978-1-0716-3989-4_57	bioRxiv 2024.01.25.577152						
