Authors	RECOMB 2025 Paper Title (Original)	LNCS 15647 Pages	LNCS 15647 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Xiran Liu, Lorin Crawford, Sohini Ramachandran	ML-MAGES: A Machine Learning Framework for Multivariate Genetic Association Analyses with Genes and Effect Size Shrinkage	321-324	10.1007/978-3-031-90252-9_31							
Natnatee Dokmai, Kaiyuan Zhu, S. Cenk Sahinalp, Hyunghoon Cho	TX-Phase: Secure Phasing of Private Genomes in a Trusted Execution Environment	325-329	10.1007/978-3-031-90252-9_32							
Igor Martayan, Lucas Robidou, Yoshihiro Shibuya, Antoine Limasset	Hyper-k-mers: Efficient Streaming k-mers Representation	330-335	10.1007/978-3-031-90252-9_33							
Mrinmoy S. Roddur, Vikram Ramavarapu, Abigail Bunkum, Ariana Huebner, Roman Mineyev, Nicholas McGranahan, Simone Zaccaria, Mohammed El-Kebir	Characterizing the Solution Space of Migration Histories of Metastatic Cancers with MACH2	336-339	10.1007/978-3-031-90252-9_34							
Shaokun An, Jae-Won Cho, Kai Cao, Jiankang Xiong, Martin Hemberg, Lin Wan	Causal Disentanglement of Treatment Effects in Single-Cell RNA Sequencing Through Counterfactual Inference	340-344	10.1007/978-3-031-90252-9_35							
Anastasia Litinetskaya, Maiia Schulman, Fabiola Curion, Artur Szalata, Alireza Omidi, Mohammad Lotfollahi, Fabian Theis	Integration and Querying of Multimodal Single-Cell Data with PoE-VAE	345-348	10.1007/978-3-031-90252-9_36							
Enzo Battistella, Anant Maheshwari, Barış Ekim, Bonnie Berger, Victoria Popic	ralphi: A Deep Reinforcement Learning Framework for Haplotype Assembly	349-353	10.1007/978-3-031-90252-9_37							
An Wang, Stephanie Hicks, Donald Geman, Laurent Younes	GeneCover: A Combinatorial Approach for Label-Free Marker Gene Selection	354-357	10.1007/978-3-031-90252-9_38							
Hongyu Zheng, Hirak Sarkar, Benjamin J. Raphael	Joint Imputation and Deconvolution of Gene Expression Across Spatial Transcriptomics Platforms	358-361	10.1007/978-3-031-90252-9_39							
Rashid Al-Abri and Gamze Gürsoy	ScatTR: Estimating the Size of Long Tandem Repeat Expansions from Short-Reads	362-366	10.1007/978-3-031-90252-9_40							
Peter Halmos, Julian Gold, Xinhao Liu, Benjamin J. Raphael	Learning Latent Trajectories in Developmental Time Series with Hidden-Markov Optimal Transport	367-370	10.1007/978-3-031-90252-9_41							
Ellie Haber, Ajinkya Deshpande, Jian Ma, Spencer Krieger	Unified Integration of Spatial Transcriptomics Across Platforms	371-375	10.1007/978-3-031-90252-9_42							
Sebastian Prillo, Kevin An, Wilson Wu, Ivan Kristanto, Matthew G. Jones, Yun S. Song, Nir Yosef	Tree Reconstruction Guarantees from CRISPR-Cas9 Lineage Tracing Data Using Neighbor-Joining	376-380	10.1007/978-3-031-90252-9_43							
Pan Liu and Jingyi Jessica Li	mcRigor: A Statistical Method to Enhance the Rigor of Metacell Partitioning in Single-Cell RNA-seq and ATAC-seq Data Analysis	381-385	10.1007/978-3-031-90252-9_44							
Sandeep Kambhampati, Luca D'Alessio, Fedor Grab, Stephen Fleming, Fei Chen, Mehrtash Babadi	TissueMosaic Enables Cross-Sample Differential Analysis of Spatial Transcriptomics Datasets Through Self-supervised Representation Learning	386-389	10.1007/978-3-031-90252-9_45							
Zhezheng Song, Tasfia Zahin, Xiang Li, Mingfu Shao	Accurate Detection of Tandem Repeats from Error-Prone Sequences with EquiRep	390-394	10.1007/978-3-031-90252-9_46							
Wei-Hao Lee, Lechuan Li, Ruth Dannenfelser, Vicky Yao	ALPINE: An Interpretable Approach for Decoding Phenotypes from Multi-condition Sequencing Data	395-399	10.1007/978-3-031-90252-9_47							
Dongyuan Song, Siqi Chen, Christy Lee, Kexin Li, Xinzhou Ge, Jingyi Jessica Li	Synthetic Control Removes Spurious Discoveries from Double Dipping in Single-Cell and Spatial Transcriptomics Data Analyses	400-404	10.1007/978-3-031-90252-9_48							
Ghanshyam Chandra, Md Helal Hossen, Stephan Scholz, Alexander T. Dilthey, Daniel Gibney, Chirag Jain	Integer Programming Framework for Pangenome-Based Genome Inference	405-408	10.1007/978-3-031-90252-9_49							
Farid Rashidi Mehrabadi, Erfan Sadeqi Azer, John D. Bridgers, Eva Pérez-Guijarro, Kerrie L. Marie, Howard H. Yang, Charli Gruen, Chih Hao Wu, Welles Robinson, Huaitian Liu, Can Kizilkale, Michael C. Kelly, Cari Smith, Sung Chin, Jessica Ebersole, Sandra Burkett, Aydin Buluc, Maxwell P. Lee, Erin K. Molloy, Teresa M. Przytycka, Glenn Merlino, Chi-Ping Day, Salem Malikić, Funda Ergun, S. Cenk Sahinalp	A Partition Function Algorithm to Evaluate Inferred Subclonal Structures in Single-Cell Sequencing Data	409-413	10.1007/978-3-031-90252-9_50							
Yoav Dvir and Sagi Snir	Untying Rates of Gene Gain and Loss Leads to a New Phylogenetic Approach	414-419	10.1007/978-3-031-90252-9_51							
Jiaqi Luo and Yunan Luo	Learning Maximally Spanning Representations Improves Protein Function Annotation	420-423	10.1007/978-3-031-90252-9_52							
Bartol Borozan, Luka Borozan, Domagoj Ševerdija, Domagoj Matijević, Stefan Canzar	Optimal Marker Genes for c-Separated Cell Types	424-427	10.1007/978-3-031-90252-9_53							
Antonio Nappi, Na Cai, Francesco Paolo Casale	Bayesian Aggregation of Multiple Annotations Enhances Rare Variant Association Testing	428-431	10.1007/978-3-031-90252-9_54							
Shaoheng Liang, Junjie Tang, Guanghan Wang, Jian Ma	STEAMBOAT: Attention-Based Multiscale Delineation of Cellular Interactions in Tissues	432-436	10.1007/978-3-031-90252-9_55							
